studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
hcc_tcga_gdc:TCGA-ED-A7PX-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A66Y-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-ED-A66X-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A5KG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A4XI-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A459-01	1	0	0	0	0	0	1	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAW3-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAW2-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AAW1-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAW0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVZ-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVY-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVX-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVW-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVV-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVU-01	1	0	0	0	1	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AAVS-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVR-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVQ-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAVP-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAEK-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAEI-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAEH-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAEG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAEE-01	1	1	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAED-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AAEB-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAEA-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE9-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE8-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE7-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE6-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE4-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE3-01	1	1	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE2-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAE1-01	1	0	0	0	1	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AAE0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADY-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADW-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADV-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADU-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AADS-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADR-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADQ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADP-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADO-01	1	0	0	0	1	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AADN-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AADM-01	1	1	0	1	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AADL-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADK-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADJ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADI-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADG-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADF-01	1	0	0	0	0	1	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADE-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADD-01	1	1	0	0	0	0	0	0	1	0	1
