studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
ucec_tcga_gdc:TCGA-DI-A1NN-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DI-A1C3-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DI-A1BY-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DI-A1BU-01	1	1	0	1	0	1	1	0	1	0	0
ucec_tcga_gdc:TCGA-DI-A0WH-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-DF-A2L0-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-DF-A2KZ-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-DF-A2KV-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DF-A2KU-01	1	0	1	1	1	1	1	0	0	0	0
ucec_tcga_gdc:TCGA-DF-A2KS-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DF-A2KR-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-DF-A2KN-01	1	1	0	0	0	0	1	0	1	0	0
ucec_tcga_gdc:TCGA-D1-A3JP-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A3DH-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A3DG-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A2G7-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A2G6-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A2G5-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A2G0-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1O8-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1O7-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1O5-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1O0-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1NZ-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1NY-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1NX-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1NW-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1NU-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A1NS-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17U-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17T-01	1	1	0	0	0	0	0	0	0	0	0
